,Company,Location,Salary,Titles,New Salary,SalaryII,SalaryIII,Avg Salary
2375,The University of Pittsburgh,"Pittsburgh, PA","[$23,868 - $37,752 a year]",Laboratory Technician,"[u'23,868  37,752 ']",23868.0,37752.0,30810.0
2403,Smith Hanley Associates,"Pittsburgh, PA","[$90,000 - $100,000 a year]",Data Scientist,"[u'90,000  100,000 ']",90000.0,100000.0,95000.0
2416,The University of Pittsburgh,"Pittsburgh, PA","[$18,564 - $28,860 a year]",CNUP Assistant,"[u'18,564  28,860 ']",18564.0,28860.0,23712.0
3055,TechXMath,"Cambridge, MA","[$60,000 - $85,000 a year]",Data Scientist,"[u'60,000  85,000 ']",60000.0,85000.0,72500.0
3126,Eutropics Inc.,"Cambridge, MA 02138 (West Cambridge area)","[$75,000 - $100,000 a year]","Scientist, In Vitro Diagnostic Assay Development","[u'75,000  100,000 ']",75000.0,100000.0,87500.0
3160,ShortestTrack,"Boston, MA","[$50,000 - $60,000 a year]",Data Science Solution Manager,"[u'50,000  60,000 ']",50000.0,60000.0,55000.0
3175,"Veterans Affairs, Veterans Health Administration","Boston, MA","[$94,520 - $122,875 a year]",Statistician (Health),"[u'94,520  122,875 ']",94520.0,122875.0,108697.5
3181,Commonwealth of Massachusetts,"Framingham, MA 01702","[$55,017 - $78,763 a year]",Research Analyst III,"[u'55,017  78,763 ']",55017.0,78763.0,66890.0
3304,Shire Pharmaceuticals,"Lexington, MA","[$128,000 - $141,000 a year]",Senior Statistical Programmer II,"[u'128,000  141,000 ']",128000.0,141000.0,134500.0
3307,Boston Planning & Development Agency,"Boston, MA","[$56,000 - $70,000 a year]",SENIOR RESEARCH ANALYST,"[u'56,000  70,000 ']",56000.0,70000.0,63000.0
3336,Darwin Recruitment,"Boston, MA","[$150,000 - $180,000 a year]",Data Scientist Machine Learning Engineer,"[u'150,000  180,000 ']",150000.0,180000.0,165000.0
3425,Darwin Recruitment,"Boston, MA","[$180,000 - $200,000 a year]",Senior Data Scientist,"[u'180,000  200,000 ']",180000.0,200000.0,190000.0
3494,The Guild for Human Services,"Concord, MA 01742","[$85,000 - $90,000 a year]",Senior Research Data Analyst,"[u'85,000  90,000 ']",85000.0,90000.0,87500.0
3514,Strategic Employment Partners,"Boston, MA","[$100,000 - $140,000 a year]",Data Scientist,"[u'100,000  140,000 ']",100000.0,140000.0,120000.0
3617,Darwin Recruitment,"Boston, MA","[$150,000 - $180,000 a year]",Natural Language Processing/Machine Learning Engineer,"[u'150,000  180,000 ']",150000.0,180000.0,165000.0
3687,Shire Pharmaceuticals,"Cambridge, MA 02140 (North Cambridge area)","[$127,400 - $191,100 a year]","Associate Director, Clinical Scientist","[u'127,400  191,100 ']",127400.0,191100.0,159250.0
3735,Jobspring Partners,"Boston, MA 02116 (South End area)","[$80,000 - $110,000 a year]",Data Analyst,"[u'80,000  110,000 ']",80000.0,110000.0,95000.0
3738,All-In Analytics,"Wellesley, MA","[$110,000 - $120,000 a year]",Sr. Data Scientist,"[u'110,000  120,000 ']",110000.0,120000.0,115000.0
3811,Darwin Recruitment,"Boston, MA","[$200,000 - $220,000 a year]",Director of Machine Learning,"[u'200,000  220,000 ']",200000.0,220000.0,210000.0
3819,Center for Social Innovation,"Needham, MA","[$50,000 - $70,000 a year]",Project Manager,"[u'50,000  70,000 ']",50000.0,70000.0,60000.0
3827,Commonwealth of Massachusetts,"Boston, MA","[$60,096 - $87,045 a year]",Clinical Laboratory Surveyor,"[u'60,096  87,045 ']",60096.0,87045.0,73570.5
3842,CEI,"Washington, DC","[$80,000 - $100,000 a year]",Data Science Analyst,"[u'80,000  100,000 ']",80000.0,100000.0,90000.0
3844,PPG Marine,"Washington, DC","[$85,000 - $100,000 a year]",Data Research Analyst / Statistician - U.S. Coast Guard,"[u'85,000  100,000 ']",85000.0,100000.0,92500.0
3854,Central Intelligence Agency,"Washington, DC","[$62,338 - $119,794 a year]",Data Scientist,"[u'62,338  119,794 ']",62338.0,119794.0,91066.0
3884,Motion Partners,"Arlington, VA","[$120,000 - $160,000 a year]",Lead/Senior Data Scientist,"[u'120,000  160,000 ']",120000.0,160000.0,140000.0
3886,CNA Corporation,"Arlington, VA 22201 (Lyon Village area)","[$85,000 - $120,000 a year]",System Engineer III (Data Analysis Specialist),"[u'85,000  120,000 ']",85000.0,120000.0,102500.0
3887,Department of State,"Washington, DC","[$94,796 - $145,629 a year]",Survey Statistician (Social Science),"[u'94,796  145,629 ']",94796.0,145629.0,120212.5
3894,Piper Companies,"Reston, VA 20190","[$200,000 - $220,000 a year]",Data Scientist,"[u'200,000  220,000 ']",200000.0,220000.0,210000.0
